CIRCLE,DISTRICT,ZONE_ID,GRID_NAME,FEEDER_NAME,SUBSTATION_NAME,OPEN_DATE,CLOSE_DATE,FAULT_TYPE,FAULT_REASON,ZSO_NAME,LAST_PROTECTION_VISITOR_NAME,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,SHOPPING CENTRE ,1303_CHUNNA BHATTI_19468486,4/11/2020 15:19,4/11/2020 15:55,HT ABC Fault,St. thru Failure,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,SHOPPING CENTRE ,1303_CHUNNA BHATTI_19468486,4/11/2020 15:57,4/11/2020 16:30,HT ABC Fault,St. thru Failure,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,SHOPPING CENTRE ,NA,4/11/2020 17:58,4/11/2020 18:40,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,SHOPPING CENTRE ,NA,4/19/2020 10:58,4/19/2020 11:30,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,SHOPPING CENTRE ,NA,4/19/2020 12:50,4/19/2020 13:08,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,KIRBI PLACE FDR NO-1,1302_SADAR BAZAR GURUDWARA S/S_19464892,4/1/2020 18:45,4/1/2020 20:31,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,7 BLK RAMESH NAGAR,NA,4/14/2020 11:31,4/14/2020 17:45,Cable Fault,Found faulty after hi pot-fault in run,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,7 BLK RAMESH NAGAR,NA,4/15/2020 10:59,4/15/2020 15:04,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR,BREAKFAST FDR-2,1301_63 RAMA ROAD_19464972,4/22/2020 12:56,4/22/2020 15:45,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,"A-15/1, NIA PH-1","1302_NARAINA VILLAGE C-BLK ,KHATTEWALAN_19464905",4/27/2020 14:13,4/27/2020 17:00,HT ABC Fault,End Termination Failure,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,"A-15/1, NIA PH-1","1302_NARAINA VILLAGE C-BLK ,KHATTEWALAN_19464905",4/27/2020 14:15,4/27/2020 16:30,HT ABC Fault,End Termination Failure,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,"A-15/1, NIA PH-1",NA,4/27/2020 14:21,4/27/2020 15:16,NA,NA,,,,
Metro Circle,Mangolpuri,518,MANGOL PURI - I,O/D RMU HARIJAN BASTI ( Z-518),,4/1/2017 0:31,4/1/2017 1:30,MAINTENANCE CAUSE,Maintenance cause,AJAY PRAKASH,,,
Urban Circle,Badli,507,SGTN (GIS),GALI NO 4 SAMAYPUR,EAST FRIEND ENCLAVE NO-2,4/1/2017 2:05,4/1/2017 2:58,TRANSIENT FAULT,Sabotage (short circuit - external wire),NA,,,
